owner,repo,contributor,commits
tidyverse,dplyr,apreshill,1
tidyverse,dplyr,DataWookie,1
tidyverse,dplyr,ateucher,1
tidyverse,dplyr,cpsievert,1
tidyverse,dplyr,ajdamico,1
tidyverse,dplyr,bbrewington,1
tidyverse,dplyr,briandk,1
tidyverse,dplyr,cjyetman,1
tidyverse,dplyr,chappers,1
tidyverse,dplyr,Shurakai,1
tidyverse,dplyr,chrMongeau,1
tidyverse,dplyr,csgillespie,1
tidyverse,dplyr,craigcitro,1
tidyverse,dplyr,strengejacke,1
tidyverse,dplyr,davidkretch,1
tidyverse,dplyr,dgrtwo,1
tidyverse,dplyr,eddelbuettel,1
tidyverse,dplyr,cb4ds,1
tidyverse,dplyr,edublancas,1
tidyverse,dplyr,ellisvalentiner,1
tidyverse,dplyr,FvD,1
tidyverse,dplyr,garrettgman,1
tidyverse,dplyr,nachti,1
tidyverse,dplyr,gergness,1
tidyverse,dplyr,gregrahn,1
tidyverse,dplyr,itcarroll,1
tidyverse,dplyr,jwnorman,1
tidyverse,dplyr,JakeRuss,1
tidyverse,dplyr,elben10,1
tidyverse,dplyr,JasonAizkalns,1
tidyverse,dplyr,jdagilliland,1
tidyverse,dplyr,jasonmhoule,1
tidyverse,dplyr,jimvine,1
tidyverse,dplyr,jcheng5,1
tidyverse,dplyr,jonthegeek,1
tidyverse,dplyr,joranE,1
tidyverse,dplyr,jlegewie,1
tidyverse,dplyr,jthurner,1
tidyverse,dplyr,casallas,1
tidyverse,dplyr,jentjr,1
tidyverse,dplyr,kirillseva,1
tidyverse,dplyr,leebunce,1
tidyverse,dplyr,LeeMendelowitz,1
tidyverse,dplyr,LluisRamon,1
tidyverse,dplyr,lorenzwalthert,1
tidyverse,dplyr,LCHansson,1
tidyverse,dplyr,mgperry,1
tidyverse,dplyr,weirdlittlespot,1
tidyverse,dplyr,martinjhnhadley,1
tidyverse,dplyr,mdlincoln,1
tidyverse,dplyr,mdsumner,1
tidyverse,dplyr,mtreadwell,1
tidyverse,dplyr,nhanitvn,1
tidyverse,dplyr,nicholasjhorton,1
tidyverse,dplyr,potterzot,1
tidyverse,dplyr,paulstaab,1
tidyverse,dplyr,PedramNavid,1
tidyverse,dplyr,robertzk,1
tidyverse,dplyr,Robinlovelace,1
tidyverse,dplyr,russellpierce,1
tidyverse,dplyr,smsaladi,1
tidyverse,dplyr,simon-anders,1
tidyverse,dplyr,StevenMMortimer,1
tidyverse,dplyr,DasAllFolks,1
tidyverse,dplyr,setempler,1
tidyverse,dplyr,takahisah,1
tidyverse,dplyr,tcarnus,1
tidyverse,dplyr,tomfaulhaber,1
tidyverse,dplyr,t-kalinowski,1
tidyverse,dplyr,tonyfischetti,1
tidyverse,dplyr,yihui,1
tidyverse,dplyr,pachevalier,1
tidyverse,dplyr,cwickham,1
tidyverse,dplyr,davidkane9,1
tidyverse,dplyr,dpastoor,1
tidyverse,dplyr,eipi10,1
tidyverse,dplyr,harrismcgehee,1
tidyverse,dplyr,helix123,1
tidyverse,dplyr,hoxo-m,1
tidyverse,dplyr,hs3180,1
tidyverse,dplyr,jbao,1
tidyverse,dplyr,jjchern,1
tidyverse,dplyr,lehy-probayes,1
tidyverse,dplyr,mnfn,1
tidyverse,dplyr,r2evans,1
tidyverse,dplyr,shea-parkes,1
tidyverse,dplyr,shearerp,1
tidyverse,dplyr,suzanbaert,1
tidyverse,dplyr,szilard0,1
tidyverse,dplyr,teramonagi,1
tidyverse,dplyr,tverbeke,1
tidyverse,dplyr,zachcp,1
tidyverse,forcats,hadley,153
tidyverse,forcats,batpigandme,6
tidyverse,forcats,krlmlr,4
tidyverse,forcats,rtaph,2
tidyverse,forcats,jennybc,2
tidyverse,forcats,alberthkcheng,1
tidyverse,forcats,BarkleyBG,1
tidyverse,forcats,ismayc,1
tidyverse,forcats,colinbrislawn,1
tidyverse,forcats,wilkox,1
tidyverse,forcats,alistaire47,1
tidyverse,forcats,robinsones,1
tidyverse,forcats,gregrs-uk,1
tidyverse,forcats,jhuovari,1
tidyverse,forcats,jeremystan,1
tidyverse,forcats,jtr13,1
tidyverse,forcats,tklebel,1
tidyverse,forcats,rudazhan,1
tidyverse,forcats,eipi10,1
tidyverse,forcats,mgacc0,1
tidyverse,forcats,yutannihilation,1
tidyverse,ggplot2,hadley,2538
tidyverse,ggplot2,wch,654
tidyverse,ggplot2,kohske,232
tidyverse,ggplot2,thomasp85,84
tidyverse,ggplot2,jiho,63
tidyverse,ggplot2,lionel-,55
tidyverse,ggplot2,clauswilke,43
tidyverse,ggplot2,karawoo,42
tidyverse,ggplot2,BrianDiggs,28
tidyverse,ggplot2,JakeRuss,20
tidyverse,ggplot2,yutannihilation,19
tidyverse,ggplot2,joranE,17
tidyverse,ggplot2,dpseidel,16
tidyverse,ggplot2,hrbrmstr,16
tidyverse,ggplot2,JoFrhwld,14
tidyverse,ggplot2,batpigandme,13
tidyverse,ggplot2,DanRuderman,13
tidyverse,ggplot2,jimhester,11
tidyverse,ggplot2,has2k1,10
tidyverse,ggplot2,richierocks,7
tidyverse,ggplot2,jrnold,6
tidyverse,ggplot2,krlmlr,5
tidyverse,ggplot2,topepo,5
tidyverse,ggplot2,noamross,5
tidyverse,ggplot2,pkq,5
tidyverse,ggplot2,tmshn,5
tidyverse,ggplot2,tdhock,5
tidyverse,ggplot2,foo-bar-baz-qux,5
tidyverse,ggplot2,baptiste,5
tidyverse,ggplot2,tonytonov,4
tidyverse,ggplot2,davidmorrison,4
tidyverse,ggplot2,djmurphy420,4
tidyverse,ggplot2,wligtenberg,4
tidyverse,ggplot2,edzer,3
tidyverse,ggplot2,gregrs-uk,3
tidyverse,ggplot2,jankatins,3
tidyverse,ggplot2,jdagilliland,3
tidyverse,ggplot2,Katiedaisey,3
tidyverse,ggplot2,goyalmunish,3
tidyverse,ggplot2,seaaan,3
tidyverse,ggplot2,setempler,3
tidyverse,ggplot2,markpayneatwork,3
tidyverse,ggplot2,veraanadi,3
tidyverse,ggplot2,schloerke,2
tidyverse,ggplot2,bjreisman,2
tidyverse,ggplot2,cpsievert,2
tidyverse,ggplot2,infotroph,2
tidyverse,ggplot2,davharris,2
tidyverse,ggplot2,daattali,2
tidyverse,ggplot2,delferts,2
tidyverse,ggplot2,dylan-stark,2
tidyverse,ggplot2,alistaire47,2
tidyverse,ggplot2,jonocarroll,2
tidyverse,ggplot2,slowkow,2
tidyverse,ggplot2,kevinushey,2
tidyverse,ggplot2,mrtns,2
tidyverse,ggplot2,mvkorpel,2
tidyverse,ggplot2,seancarmody,2
tidyverse,ggplot2,steveharoz,2
tidyverse,ggplot2,wibeasley,2
tidyverse,ggplot2,dongzhuoer,2
tidyverse,ggplot2,bbolker,2
tidyverse,ggplot2,bfgray3,2
tidyverse,ggplot2,bbrewington,2
tidyverse,ggplot2,lindbrook,2
tidyverse,ggplot2,ajschumacher,1
tidyverse,ggplot2,jabranham,1
tidyverse,ggplot2,truemoid,1
tidyverse,ggplot2,andrewdolman,1
tidyverse,ggplot2,pierucci,1
tidyverse,ggplot2,alamstein-trulia,1
tidyverse,ggplot2,BernhardKonrad,1
tidyverse,ggplot2,briandk,1
tidyverse,ggplot2,brianwdavis,1
tidyverse,ggplot2,brodieG,1
tidyverse,ggplot2,cwickham,1
tidyverse,ggplot2,croach,1
tidyverse,ggplot2,codetrainee,1
tidyverse,ggplot2,daniel-barnett,1
tidyverse,ggplot2,dgromer,1
tidyverse,ggplot2,dariobuttari,1
tidyverse,ggplot2,davidkretch,1
tidyverse,ggplot2,Symaxion,1
tidyverse,ggplot2,erocoar,1
tidyverse,ggplot2,gfiumara,1
tidyverse,ggplot2,gregmacfarlane,1
tidyverse,ggplot2,GuangchuangYu,1
tidyverse,ggplot2,gokceneraslan,1
tidyverse,ggplot2,hbuschme,1
tidyverse,ggplot2,salmasian,1
tidyverse,ggplot2,HughParsonage,1
tidyverse,ggplot2,Bisaloo,1
tidyverse,ggplot2,izahn,1
tidyverse,ggplot2,jennybc,1
tidyverse,ggplot2,botanize,1
tidyverse,ggplot2,jschoeley,1
tidyverse,ggplot2,jonathan-g,1
tidyverse,ggplot2,jsta,1
tidyverse,ggplot2,caijun,1
tidyverse,ggplot2,jentjr,1
tidyverse,ggplot2,kbroman,1
tidyverse,ggplot2,huftis,1
tidyverse,ggplot2,kloesing,1
tidyverse,ggplot2,katrinleinweber,1
tidyverse,ggplot2,darrkj,1
tidyverse,ggplot2,kferris10,1
tidyverse,ggplot2,lselzer,1
tidyverse,ggplot2,jemus42,1
tidyverse,ggplot2,mcol,1
tidyverse,ggplot2,martin-martin,1
tidyverse,ggplot2,mruessler,1
tidyverse,ggplot2,mbergins,1
tidyverse,ggplot2,mpancia,1
tidyverse,ggplot2,mnazarov,1
tidyverse,ggplot2,mnbram,1
tidyverse,ggplot2,mikmart,1
tidyverse,ggplot2,mine-cetinkaya-rundel,1
tidyverse,ggplot2,nteetor,1
tidyverse,ggplot2,nicksolomon,1
tidyverse,ggplot2,NikNakk,1
tidyverse,ggplot2,joey711,1
tidyverse,ggplot2,pmur002,1
tidyverse,ggplot2,PeteHaitch,1
tidyverse,ggplot2,crowding,1
tidyverse,ggplot2,Tutuchan,1
tidyverse,ggplot2,rasmusab,1
tidyverse,ggplot2,Smudgerville,1
tidyverse,ggplot2,rsaporta,1
tidyverse,ggplot2,robertzk,1
tidyverse,ggplot2,DarwinAwardWinner,1
tidyverse,ggplot2,rcurtin,1
tidyverse,ggplot2,sebkopf,1
tidyverse,ggplot2,restonslacker,1
tidyverse,ggplot2,smsaladi,1
tidyverse,ggplot2,lianos,1
tidyverse,ggplot2,stragu,1
tidyverse,ggplot2,talgalili,1
tidyverse,ggplot2,Thell,1
tidyverse,ggplot2,Thieffen,1
tidyverse,ggplot2,tgs,1
tidyverse,ggplot2,tklebel,1
tidyverse,ggplot2,durtal,1
tidyverse,ggplot2,tdmcarthur,1
tidyverse,ggplot2,tjmahr,1
tidyverse,ggplot2,Ax3man,1
tidyverse,ggplot2,yihui,1
tidyverse,ggplot2,burchill,1
tidyverse,ggplot2,arilamstein,1
tidyverse,ggplot2,buyske,1
tidyverse,ggplot2,coolbutuseless,1
tidyverse,ggplot2,dkahle,1
tidyverse,ggplot2,eliocamp,1
tidyverse,ggplot2,heckendorfc,1
tidyverse,ggplot2,lehy,1
tidyverse,ggplot2,metanoid,1
tidyverse,ggplot2,mitchelloharawild,1
tidyverse,ggplot2,pbiecek,1
tidyverse,ggplot2,stefanedwards,1
tidyverse,ggplot2,timgoodman,1
tidyverse,ggplot2,tomschloss,1
tidyverse,glue,jimhester,241
tidyverse,glue,egnha,3
tidyverse,glue,jennybc,3
tidyverse,glue,mgirlich,3
tidyverse,glue,krlmlr,2
tidyverse,glue,md0u80c9,1
tidyverse,glue,dpprdan,1
tidyverse,glue,gaborcsardi,1
tidyverse,glue,kendonB,1
tidyverse,glue,batpigandme,1
tidyverse,glue,mine-cetinkaya-rundel,1
tidyverse,glue,tstev,1
tidyverse,glue,wibeasley,1
tidyverse,glue,baptiste,1
tidyverse,glue,landesbergn,1
tidyverse,glue,moodymudskipper,1
tidyverse,googledrive,jennybc,369
tidyverse,googledrive,LucyMcGowan,204
tidyverse,googledrive,jimhester,2
tidyverse,googledrive,batpigandme,2
tidyverse,googlesheets4,jennybc,194
tidyverse,haven,hadley,489
tidyverse,haven,evanmiller,9
tidyverse,haven,gorcha,4
tidyverse,haven,jeroen,4
tidyverse,haven,lionel-,4
tidyverse,haven,markriseley,4
tidyverse,haven,edwindj,3
tidyverse,haven,batpigandme,3
tidyverse,haven,larmarange,3
tidyverse,haven,bquast,2
tidyverse,haven,krlmlr,2
tidyverse,haven,aghaynes,2
tidyverse,haven,ajdamico,1
tidyverse,haven,diogocp,1
tidyverse,haven,ecortens,1
tidyverse,haven,gergness,1
tidyverse,haven,jjallaire,1
tidyverse,haven,ehrlinger,1
tidyverse,haven,huftis,1
tidyverse,haven,kwenzig,1
tidyverse,haven,itsdalmo,1
tidyverse,haven,lorenzwalthert,1
tidyverse,haven,lwjohnst86,1
tidyverse,haven,BioStatMatt,1
