owner,repo,contributor,commits,repo_contributor_count
tidyverse,dplyr,ajschumacher,3,204
tidyverse,dplyr,bpbond,3,204
tidyverse,dplyr,rbdixon,3,204
tidyverse,dplyr,daattali,3,204
tidyverse,dplyr,filipefilardi,3,204
tidyverse,dplyr,imanuelcostigan,3,204
tidyverse,dplyr,jschelbert,3,204
tidyverse,dplyr,jayhesselberth,3,204
tidyverse,dplyr,mkuhn,3,204
tidyverse,dplyr,ncarchedi,3,204
tidyverse,dplyr,quartin,3,204
tidyverse,dplyr,foo-bar-baz-qux,3,204
tidyverse,dplyr,xiaodaigh,3,204
tidyverse,dplyr,dgromer,3,204
tidyverse,dplyr,markdly,3,204
tidyverse,dplyr,ajdamico,2,204
tidyverse,dplyr,austenhead,2,204
tidyverse,dplyr,aadler,2,204
tidyverse,dplyr,benmarwick,2,204
tidyverse,dplyr,earino,2,204
tidyverse,dplyr,edwindj,2,204
tidyverse,dplyr,ethanwhite,2,204
tidyverse,dplyr,saurfang,2,204
tidyverse,dplyr,gergness,2,204
tidyverse,dplyr,jrnold,2,204
tidyverse,dplyr,jonthegeek,2,204
tidyverse,dplyr,karldw,2,204
tidyverse,dplyr,kenahoo,2,204
tidyverse,dplyr,justmarkham,2,204
tidyverse,dplyr,sandan,2,204
tidyverse,dplyr,mnel,2,204
tidyverse,dplyr,Nick-Rivera,2,204
tidyverse,dplyr,npjc,2,204
tidyverse,dplyr,pkq,2,204
tidyverse,dplyr,uribo,2,204
tidyverse,dplyr,sinarueeger,2,204
tidyverse,dplyr,tklebel,2,204
tidyverse,dplyr,zachary-foster,2,204
tidyverse,dplyr,joel23888,2,204
tidyverse,dplyr,michaelweylandt,2,204
tidyverse,dplyr,shabbybanks,2,204
tidyverse,dplyr,ijlyttle,2,204
tidyverse,dplyr,tjmahr,2,204
tidyverse,dplyr,aaronwolen,1,204
tidyverse,dplyr,davisadamw,1,204
tidyverse,dplyr,courtiol,1,204
tidyverse,dplyr,alyst,1,204
tidyverse,dplyr,apreshill,1,204
tidyverse,dplyr,datawookie,1,204
tidyverse,dplyr,ateucher,1,204
tidyverse,dplyr,cpsievert,1,204
tidyverse,dplyr,bschneidr,1,204
tidyverse,dplyr,bjungbogati,1,204
tidyverse,dplyr,bbrewington,1,204
tidyverse,dplyr,briandk,1,204
tidyverse,dplyr,cjyetman,1,204
tidyverse,dplyr,chappers,1,204
tidyverse,dplyr,Shurakai,1,204
tidyverse,dplyr,chrMongeau,1,204
tidyverse,dplyr,codetrainee,1,204
tidyverse,dplyr,csgillespie,1,204
tidyverse,dplyr,rundel,1,204
tidyverse,dplyr,Copepoda,1,204
tidyverse,dplyr,craigcitro,1,204
tidyverse,dplyr,strengejacke,1,204
tidyverse,dplyr,djnavarro,1,204
tidyverse,dplyr,DanielleQuinn,1,204
tidyverse,dplyr,smallperks,1,204
tidyverse,dplyr,davidbaniadam,1,204
tidyverse,dplyr,davidkretch,1,204
tidyverse,dplyr,dgrtwo,1,204
tidyverse,dplyr,eddelbuettel,1,204
tidyverse,dplyr,dirkschumacher,1,204
tidyverse,dplyr,cb4ds,1,204
tidyverse,dplyr,edublancas,1,204
tidyverse,dplyr,ellisvalentiner,1,204
tidyverse,dplyr,estern95,1,204
tidyverse,dplyr,FvD,1,204
tidyverse,dplyr,garrettgman,1,204
tidyverse,dplyr,nachti,1,204
tidyverse,dplyr,gregrahn,1,204
tidyverse,dplyr,gustavdelius,1,204
tidyverse,dplyr,itcarroll,1,204
tidyverse,dplyr,jwnorman,1,204
tidyverse,dplyr,JakeRuss,1,204
tidyverse,dplyr,elben10,1,204
tidyverse,dplyr,rensa,1,204
tidyverse,dplyr,JaneWall,1,204
tidyverse,dplyr,jdagilliland,1,204
tidyverse,dplyr,jasonmhoule,1,204
tidyverse,dplyr,jenren,1,204
tidyverse,dplyr,jimvine,1,204
tidyverse,dplyr,jcheng5,1,204
tidyverse,dplyr,jonkeane,1,204
tidyverse,dplyr,joranE,1,204
tidyverse,dplyr,jlegewie,1,204
tidyverse,dplyr,jthurner,1,204
tidyverse,dplyr,GoldbergData,1,204
tidyverse,dplyr,casallas,1,204
tidyverse,dplyr,jentjr,1,204
tidyverse,dplyr,kirillseva,1,204
tidyverse,dplyr,laurakwiley,1,204
tidyverse,dplyr,leebunce,1,204
tidyverse,dplyr,LeeMendelowitz,1,204
tidyverse,dplyr,LluisRamon,1,204
tidyverse,dplyr,lorenzwalthert,1,204
tidyverse,dplyr,LCHansson,1,204
tidyverse,dplyr,mgperry,1,204
tidyverse,dplyr,mpaulacaldas,1,204
tidyverse,dplyr,weirdlittlespot,1,204
tidyverse,dplyr,martinjhnhadley,1,204
tidyverse,dplyr,mdlincoln,1,204
tidyverse,dplyr,MeganBeckett,1,204
tidyverse,dplyr,mdsumner,1,204
tidyverse,dplyr,mtreadwell,1,204
tidyverse,dplyr,MikeKSmith,1,204
tidyverse,dplyr,romatik,1,204
tidyverse,dplyr,nathancday,1,204
tidyverse,dplyr,nhanitvn,1,204
tidyverse,dplyr,thisisnic,1,204
tidyverse,dplyr,nicholasjhorton,1,204
tidyverse,dplyr,potterzot,1,204
tidyverse,dplyr,paulstaab,1,204
tidyverse,dplyr,PedramNavid,1,204
tidyverse,dplyr,perezp44,1,204
tidyverse,dplyr,rbjanis,1,204
tidyverse,dplyr,robertzk,1,204
tidyverse,dplyr,Robinlovelace,1,204
tidyverse,dplyr,russellpierce,1,204
tidyverse,dplyr,sastoudt,1,204
tidyverse,dplyr,smwindecker,1,204
tidyverse,dplyr,shanepiesik,1,204
tidyverse,dplyr,sharlagelfand,1,204
tidyverse,dplyr,smsaladi,1,204
