owner,repo,cran_urls,primary_url,news_url
tidyverse,dbplyr,"https://dbplyr.tidyverse.org/, https://github.com/tidyverse/dbplyr",https://dbplyr.tidyverse.org,https://dbplyr.tidyverse.org/news/index.html
r-lib,here,"https://here.r-lib.org/, https://github.com/r-lib/here",https://here.r-lib.org,https://here.r-lib.org/news/index.html
r-lib,covr,"https://covr.r-lib.org, https://github.com/r-lib/covr",https://covr.r-lib.org,https://covr.r-lib.org/news/index.html
r-lib,fs,"http://fs.r-lib.org, https://github.com/r-lib/fs",http://fs.r-lib.org,http://fs.r-lib.org/news/index.html
r-lib,scales,"https://scales.r-lib.org, https://github.com/r-lib/scales",https://scales.r-lib.org,https://scales.r-lib.org/news/index.html
tidymodels,yardstick,"https://github.com/tidymodels/yardstick,
https://yardstick.tidymodels.org",https://yardstick.tidymodels.org,https://yardstick.tidymodels.org/news/index.html
r-lib,memoise,https://github.com/r-lib/memoise,https://memoise.r-lib.org,https://memoise.r-lib.org/news/index.html
r-dbi,RPostgres,"https://rpostgres.r-dbi.org, https://github.com/r-dbi/RPostgres",https://rpostgres.r-dbi.org,https://rpostgres.r-dbi.org/news/index.html
r-lib,lobstr,https://github.com/r-lib/lobstr,https://lobstr.r-lib.org,https://lobstr.r-lib.org/news/index.html
tidymodels,rsample,"https://rsample.tidymodels.org,
https://github.com/tidymodels/rsample",https://rsample.tidymodels.org,https://rsample.tidymodels.org/news/index.html
tidymodels,rsample,"https://rsample.tidymodels.org,
https://github.com/tidymodels/rsample",https://rsample.tidymodels.org,https://rsample.tidymodels.org/news/index.html
tidyverse,googlesheets4,https://github.com/tidyverse/googlesheets4,https://googlesheets4.tidyverse.org,https://googlesheets4.tidyverse.org/news/index.html
r-dbi,RSQLite,"https://rsqlite.r-dbi.org, https://github.com/r-dbi/RSQLite",https://rsqlite.r-dbi.org,https://rsqlite.r-dbi.org/news/index.html
r-lib,remotes,"https://remotes.r-lib.org, https://github.com/r-lib/remotes#readme",https://remotes.r-lib.org,https://remotes.r-lib.org/news/index.html
tidymodels,tidypredict,"https://tidypredict.tidymodels.org,
https://github.com/tidymodels/tidypredict",https://tidypredict.tidymodels.org,https://tidypredict.tidymodels.org/news/index.html
r-dbi,DBI,"https://dbi.r-dbi.org, https://github.com/r-dbi/DBI",https://dbi.r-dbi.org,https://dbi.r-dbi.org/news/index.html
tidyverse,googledrive,"https://googledrive.tidyverse.org,
https://github.com/tidyverse/googledrive",https://googledrive.tidyverse.org,https://googledrive.tidyverse.org/news/index.html
r-lib,vctrs,https://vctrs.r-lib.org/,https://vctrs.r-lib.org,https://vctrs.r-lib.org/news/index.html
r-lib,gmailr,https://github.com/r-lib/gmailr,https://gmailr.r-lib.org,https://gmailr.r-lib.org/news/index.html
r-lib,callr,"https://callr.r-lib.org, https://github.com/r-lib/callr#readme",https://callr.r-lib.org,https://callr.r-lib.org/news/index.html
tidymodels,stacks,"https://stacks.tidymodels.org/,
https://github.com/tidymodels/stacks",https://stacks.tidymodels.org,https://stacks.tidymodels.org/news/index.html
r-lib,bench,https://github.com/r-lib/bench,https://bench.r-lib.org,https://bench.r-lib.org/news/index.html
r-lib,conflicted,https://github.com/r-lib/conflicted,https://conflicted.r-lib.org,https://conflicted.r-lib.org/news/index.html
r-lib,xml2,"https://xml2.r-lib.org/, https://github.com/r-lib/xml2",https://xml2.r-lib.org,https://xml2.r-lib.org/news/index.html
r-lib,processx,"https://processx.r-lib.org,
https://github.com/r-lib/processx#readme",https://processx.r-lib.org,https://processx.r-lib.org/news/index.html
r-lib,waldo,https://github.com/r-lib/waldo,https://waldo.r-lib.org,https://waldo.r-lib.org/news/index.html
