owner,repo,watchers,downloads,revdep,revdep_hard,release,release_maj,release_1st,cran_urls
r-lib,gitcreds,13,173769,2,2,207,235,235,https://github.com/r-lib/gitcreds
r-lib,whoami,13,10319,13,7,813,813,2212,https://github.com/r-lib/whoami#readme
r-lib,xmlparsedata,11,24900,3,3,115,1866,1866,https://github.com/r-lib/xmlparsedata#readme
tidymodels,poissonreg,11,906,NA,NA,244,244,441,"https://github.com/tidymodels/poissonreg,
https://poissonreg.tidymodels.org/"
topepo,AmesHousing,10,2643,5,0,371,NA,1372,https://github.com/topepo/AmesHousing
tidymodels,plsmod,8,299,NA,NA,244,265,441,https://github.com/tidymodels/plsmod
r-lib,conf,7,457,NA,NA,309,309,1215,NA
r-lib,textshaping,7,1031532,2,2,20,139,285,https://github.com/r-lib/textshaping
r-lib,tracer,7,363,NA,NA,1613,1613,1613,https://github.com/mangothecat/tracer#readme
r-lib,showimage,5,6211,1,1,1252,1252,1252,https://github.com/r-lib/showimage#readme
topepo,rsample,4,70203,116,80,52,52,1452,"https://rsample.tidymodels.org,
https://github.com/tidymodels/rsample"
r-lib,decor,2,6614,2,0,364,364,364,https://github.com/r-lib/decor
r-lib,oskeyring,2,442,1,0,232,242,242,https://github.com/r-lib/oskeyring#readme
r-lib,err,1,399,1,1,796,796,974,https://github.com/poissonconsulting/err
r-lib,tzdb,1,11161,2,2,68,117,117,https://github.com/r-lib/tzdb
